Date;Close;Open;High;Low
27/01/2023;308,59;304,90;309,00;299,41
26/01/2023;304,90;306,71;309,50;302,00
25/01/2023;306,71;300,30;313,70;293,81
24/01/2023;300,30;305,20;323,00;299,71
23/01/2023;305,20;303,10;307,70;301,21
22/01/2023;303,10;299,10;311,30;298,70
21/01/2023;299,00;305,10;309,80;298,70
20/01/2023;305,10;294,60;305,30;286,81
19/01/2023;294,60;286,90;295,30;286,32
18/01/2023;286,90;299,30;305,00;281,72
17/01/2023;299,30;299,10;305,40;296,25
16/01/2023;299,10;302,10;308,00;293,69
15/01/2023;302,10;305,20;306,10;292,10
14/01/2023;305,20;293,70;314,30;293,50
13/01/2023;293,70;287,70;295,50;285,00
12/01/2023;287,70;284,60;288,20;279,30
11/01/2023;284,60;277,20;286,79;274,30
10/01/2023;277,10;272,61;278,69;270,71
09/01/2023;272,61;274,61;283,40;271,40
08/01/2023;274,61;261,30;274,92;260,30
07/01/2023;261,30;259,90;263,59;259,40
06/01/2023;259,90;256,60;260,69;254,90
05/01/2023;256,60;258,90;259,10;255,30
04/01/2023;259,00;246,20;260,80;245,70
03/01/2023;246,20;245,30;246,90;244,60
02/01/2023;245,20;244,40;247,90;241,20
01/01/2023;244,40;246,10;246,70;243,50
31/12/2022;246,10;245,80;247,90;244,90
30/12/2022;245,80;246,30;246,60;242,80
29/12/2022;246,30;244,40;246,70;243,40
28/12/2022;244,40;246,60;247,10;241,90
27/12/2022;246,60;244,30;248,10;242,30
26/12/2022;244,30;243,20;244,80;242,00
25/12/2022;243,20;244,50;245,80;241,50
24/12/2022;244,50;246,20;246,20;243,80
23/12/2022;246,20;245,90;248,40;244,00
22/12/2022;245,90;246,20;248,20;240,40
21/12/2022;246,20;251,40;251,40;245,40
20/12/2022;251,40;240,50;253,00;239,40
19/12/2022;240,50;251,00;253,20;237,69
18/12/2022;251,00;242,00;253,50;239,70
17/12/2022;242,00;231,10;244,00;220,50
16/12/2022;231,10;258,60;264,40;226,09
15/12/2022;258,60;267,70;268,00;256,60
14/12/2022;267,70;272,20;278,30;265,80
13/12/2022;272,20;276,10;281,20;256,20
12/12/2022;276,10;284,50;285,70;272,71
11/12/2022;284,50;288,20;291,19;283,50
10/12/2022;288,10;286,10;289,80;285,80
09/12/2022;286,00;290,50;291,70;285,01
08/12/2022;290,50;284,10;291,68;282,40
07/12/2022;284,10;290,20;290,69;281,60
06/12/2022;290,20;288,41;290,69;286,82
05/12/2022;288,41;291,80;297,09;286,21
04/12/2022;292,19;290,40;292,58;288,30
03/12/2022;290,40;293,50;294,29;290,00
02/12/2022;293,50;292,10;293,80;285,70
01/12/2022;292,10;300,40;301,80;290,21
30/11/2022;300,40;295,40;305,10;293,42
29/11/2022;295,39;293,50;305,18;289,22
28/11/2022;293,40;307,60;309,49;287,67
27/11/2022;307,60;311,20;316,59;306,91
26/11/2022;311,20;300,69;317,59;300,11
25/11/2022;300,41;300,11;305,16;294,41
24/11/2022;300,11;298,90;303,68;294,31
23/11/2022;298,69;266,68;301,29;265,00
22/11/2022;266,68;254,10;267,77;252,31
21/11/2022;254,10;264,21;264,99;250,60
20/11/2022;264,39;272,61;273,79;262,02
19/11/2022;272,61;271,21;273,99;270,60
18/11/2022;273,00;268,51;274,79;268,51
17/11/2022;268,50;270,20;273,30;263,61
16/11/2022;270,20;277,00;280,09;269,03
15/11/2022;277,00;279,00;282,09;273,70
14/11/2022;279,00;276,70;291,79;268,02
13/11/2022;276,70;282,69;286,39;273,69
12/11/2022;282,69;290,20;291,83;271,90
11/11/2022;290,20;304,01;305,79;279,75
10/11/2022;304,01;266,91;312,00;263,90
09/11/2022;266,91;326,84;332,60;260,52
08/11/2022;327,50;336,90;393,42;300,16
07/11/2022;336,90;338,28;344,19;326,74
06/11/2022;338,28;349,11;355,32;338,28
05/11/2022;349,40;354,50;360,72;346,36
04/11/2022;354,50;329,61;358,59;328,31
03/11/2022;329,61;320,20;338,21;318,11
02/11/2022;320,20;323,90;329,31;315,71
01/11/2022;323,90;325,60;334,49;317,60
31/10/2022;325,79;313,50;337,10;306,92
30/10/2022;313,50;304,40;318,60;302,40
29/10/2022;304,40;297,81;308,20;295,70
28/10/2022;297,81;286,70;300,81;285,82
27/10/2022;286,80;290,30;293,29;284,90
26/10/2022;290,30;284,10;291,99;284,10
25/10/2022;284,10;274,10;289,70;272,10
24/10/2022;274,10;275,99;277,20;271,70
23/10/2022;275,99;270,49;276,69;268,89
