Date;Close;Open;High;Low
27/01/2023;23193,100;23016,000;23247,900;22602,900
26/01/2023;23016,000;23055,200;23259,500;22869,000
25/01/2023;23055,100;22632,500;23779,000;22366,300
24/01/2023;22632,500;22916,300;23156,100;22517,100
23/01/2023;22915,500;22709,000;23161,800;22527,900
22/01/2023;22707,800;22775,700;23068,700;22323,000
21/01/2023;22775,700;22677,500;23304,500;22461,100
20/01/2023;22677,200;21074,900;22718,500;20879,300
19/01/2023;21081,200;20670,600;21169,400;20669,700
18/01/2023;20670,600;21137,100;21584,100;20448,300
17/01/2023;21137,100;21184,400;21506,400;20926,200
16/01/2023;21184,200;20880,100;21416,800;20698,900
15/01/2023;20879,800;20956,000;21032,200;20585,700
14/01/2023;20958,200;19926,900;21185,600;19898,600
13/01/2023;19927,000;18850,800;19981,600;18723,800
12/01/2023;18851,300;17941,000;19055,300;17915,500
11/01/2023;17942,300;17440,500;17989,800;17323,900
10/01/2023;17439,100;17180,100;17491,000;17151,700
09/01/2023;17180,100;17119,000;17390,800;17107,100
08/01/2023;17119,000;16943,600;17119,000;16913,800
07/01/2023;16943,600;16950,900;16979,600;16909,700
06/01/2023;16950,900;16829,800;17012,300;16707,600
05/01/2023;16829,800;16852,200;16877,900;16772,300
04/01/2023;16852,100;16674,200;16976,500;16656,500
03/01/2023;16674,200;16673,100;16773,200;16607,200
02/01/2023;16674,300;16618,400;16766,900;16551,000
01/01/2023;16618,400;16537,500;16621,900;16499,700
31/12/2022;16537,400;16607,200;16635,900;16487,300
30/12/2022;16607,200;16636,400;16644,400;16360,000
29/12/2022;16636,400;16546,200;16659,100;16496,600
28/12/2022;16546,200;16705,900;16781,100;16474,200
27/12/2022;16706,100;16918,200;16964,000;16610,100
26/12/2022;16918,100;16831,800;16936,100;16799,400
25/12/2022;16831,800;16835,700;16852,900;16733,000
24/12/2022;16837,200;16778,600;16855,800;16777,800
23/12/2022;16779,100;16820,500;16910,700;16768,000
