Date,Close,Open,High,Low
27/01/2023,1605.48,1602.54,1610.95,1560.21
26/01/2023,1602.55,1611.20,1629.89,1581.76
25/01/2023,1611.20,1555.97,1638.97,1523.71
24/01/2023,1556.15,1626.52,1641.17,1539.51
23/01/2023,1626.53,1627.04,1643.82,1591.90
22/01/2023,1627.03,1626.66,1662.13,1609.32
21/01/2023,1625.53,1659.96,1678.27,1622.89
20/01/2023,1659.98,1551.12,1662.26,1543.21
19/01/2023,1551.62,1511.35,1560.70,1510.65
18/01/2023,1511.31,1564.66,1604.74,1505.37
17/01/2023,1564.67,1576.94,1603.32,1544.45
16/01/2023,1576.94,1552.69,1598.18,1526.40
15/01/2023,1552.69,1550.05,1564.34,1517.40
14/01/2023,1550.02,1450.86,1576.83,1449.47
13/01/2023,1450.86,1416.08,1463.53,1401.98
12/01/2023,1416.08,1389.84,1435.95,1365.78
11/01/2023,1389.84,1335.14,1392.40,1322.10
10/01/2023,1335.13,1320.51,1344.42,1316.95
09/01/2023,1320.51,1288.39,1344.39,1285.97
08/01/2023,1288.38,1263.91,1289.13,1259.15
07/01/2023,1263.90,1269.14,1270.95,1261.46
06/01/2023,1269.14,1250.95,1274.85,1240.38
05/01/2023,1250.95,1256.92,1259.08,1242.93
04/01/2023,1256.92,1214.57,1266.97,1212.91
03/01/2023,1214.57,1213.93,1219.75,1206.83
02/01/2023,1213.93,1200.52,1220.76,1193.77
01/01/2023,1200.52,1195.69,1204.12,1191.67
31/12/2022,1195.67,1200.00,1207.71,1193.16
30/12/2022,1199.80,1200.84,1202.13,1186.10
29/12/2022,1200.84,1189.99,1205.34,1187.19
28/12/2022,1189.98,1211.60,1214.32,1184.22
27/12/2022,1211.60,1228.22,1233.15,1202.02
26/12/2022,1227.65,1218.69,1230.37,1213.08
25/12/2022,1218.69,1220.46,1223.82,1201.20
24/12/2022,1220.46,1220.03,1226.20,1214.76
23/12/2022,1220.03,1217.59,1228.46,1212.97
22/12/2022,1217.57,1213.99,1229.47,1185.27
21/12/2022,1213.85,1217.19,1218.69,1205.48
20/12/2022,1217.20,1167.80,1228.97,1163.57
19/12/2022,1167.80,1182.70,1194.47,1152.54
18/12/2022,1182.70,1187.19,1196.55,1172.82
17/12/2022,1187.18,1166.70,1189.21,1162.76
16/12/2022,1166.70,1266.32,1279.27,1156.91
15/12/2022,1266.32,1307.29,1311.07,1260.89
14/12/2022,1307.30,1320.76,1348.43,1302.76
13/12/2022,1320.76,1275.49,1345.07,1255.82
12/12/2022,1275.02,1263.42,1278.37,1241.45
11/12/2022,1263.42,1266.36,1282.86,1258.53
10/12/2022,1266.62,1262.88,1281.24,1260.05
09/12/2022,1262.86,1280.29,1291.11,1257.00
08/12/2022,1280.29,1231.04,1289.87,1223.27
07/12/2022,1231.04,1271.24,1275.30,1221.10
06/12/2022,1271.26,1259.56,1273.92,1243.66
05/12/2022,1259.56,1279.21,1303.92,1248.69
04/12/2022,1279.74,1240.46,1284.24,1240.14
03/12/2022,1240.46,1295.69,1302.61,1237.81
02/12/2022,1295.69,1276.05,1295.80,1266.16
01/12/2022,1276.05,1294.40,1295.82,1263.58
30/11/2022,1294.41,1216.54,1304.97,1213.44
29/11/2022,1216.55,1167.73,1226.35,1159.72
28/11/2022,1167.73,1193.38,1199.06,1151.98
27/11/2022,1193.38,1205.17,1222.83,1191.09
26/11/2022,1205.15,1198.12,1229.20,1196.93
25/11/2022,1198.12,1203.77,1204.75,1172.63
24/11/2022,1203.77,1185.70,1217.38,1180.91
23/11/2022,1185.79,1139.74,1189.17,1128.53
22/11/2022,1139.74,1107.46,1141.58,1077.85
21/11/2022,1107.46,1142.88,1143.96,1081.96
20/11/2022,1142.88,1217.65,1226.14,1135.57
19/11/2022,1217.65,1208.92,1231.15,1207.34
18/11/2022,1207.31,1206.99,1225.39,1201.47
17/11/2022,1205.17,1206.16,1227.73,1185.58
16/11/2022,1206.16,1253.45,1267.62,1188.76
15/11/2022,1253.45,1242.64,1289.21,1235.39
14/11/2022,1242.64,1221.47,1289.01,1175.42
13/11/2022,1221.47,1256.29,1274.24,1205.61
12/11/2022,1256.29,1288.71,1291.39,1239.34
11/11/2022,1288.63,1299.21,1307.16,1203.04
10/11/2022,1299.15,1100.86,1346.92,1089.01
09/11/2022,1100.84,1335.26,1337.19,1076.29
08/11/2022,1335.25,1567.54,1576.10,1241.18
07/11/2022,1567.57,1570.71,1608.06,1547.29
06/11/2022,1570.86,1626.86,1637.44,1565.79
05/11/2022,1627.07,1645.03,1664.42,1623.48
04/11/2022,1645.01,1531.06,1666.17,1528.60
03/11/2022,1531.08,1518.99,1558.75,1515.75
02/11/2022,1519.04,1579.59,1618.82,1503.29
01/11/2022,1579.64,1572.89,1609.10,1564.69
31/10/2022,1572.89,1590.47,1634.17,1550.72
30/10/2022,1590.47,1619.67,1638.60,1577.35
29/10/2022,1619.69,1554.47,1660.13,1548.83
28/10/2022,1554.47,1514.14,1572.66,1489.99
27/10/2022,1514.19,1566.18,1575.90,1508.24
26/10/2022,1566.16,1459.60,1590.23,1458.61
25/10/2022,1459.60,1343.88,1522.06,1335.38
24/10/2022,1343.88,1364.19,1369.35,1324.25
23/10/2022,1363.92,1313.64,1370.91,1301.80
22/10/2022,1313.64,1299.76,1318.84,1294.61
21/10/2022,1299.76,1282.87,1306.27,1257.83
20/10/2022,1282.87,1285.33,1310.47,1272.79
19/10/2022,1285.32,1310.81,1313.46,1282.44
18/10/2022,1310.81,1331.40,1341.21,1287.58
17/10/2022,1331.12,1305.95,1338.39,1296.45
16/10/2022,1305.95,1274.93,1314.52,1274.66
15/10/2022,1274.57,1296.74,1301.48,1264.86
14/10/2022,1296.74,1287.33,1342.01,1284.08
13/10/2022,1287.34,1294.56,1299.74,1196.63
12/10/2022,1294.57,1279.97,1304.45,1275.77
11/10/2022,1279.97,1290.00,1297.59,1269.35
10/10/2022,1290.04,1323.17,1337.58,1288.68
09/10/2022,1323.41,1315.08,1328.55,1308.15
08/10/2022,1315.05,1331.07,1336.69,1304.08
07/10/2022,1330.99,1352.17,1361.26,1319.17
06/10/2022,1352.27,1352.07,1383.02,1347.78
05/10/2022,1352.07,1361.51,1364.03,1317.58
04/10/2022,1361.48,1323.37,1367.30,1318.87
03/10/2022,1323.41,1277.02,1329.16,1266.86
02/10/2022,1275.74,1311.80,1317.41,1272.38
01/10/2022,1311.80,1328.73,1333.61,1303.22
30/09/2022,1328.73,1336.05,1372.44,1316.62
29/09/2022,1336.08,1337.34,1351.61,1289.66
28/09/2022,1337.37,1328.23,1354.75,1261.29
27/09/2022,1328.23,1337.07,1399.67,1305.49
26/09/2022,1337.06,1294.24,1339.17,1279.71
25/09/2022,1294.26,1317.01,1335.73,1271.87
24/09/2022,1317.00,1327.91,1348.91,1307.96
23/09/2022,1327.96,1326.12,1356.74,1264.91
22/09/2022,1326.44,1247.64,1346.38,1237.96
21/09/2022,1247.74,1323.34,1388.38,1222.29
20/09/2022,1323.33,1375.96,1384.39,1315.03
19/09/2022,1376.00,1334.82,1391.50,1284.50
18/09/2022,1335.01,1468.76,1469.21,1327.21
17/09/2022,1468.79,1434.01,1475.05,1409.65
16/09/2022,1434.01,1472.63,1483.43,1410.90
15/09/2022,1472.64,1637.89,1653.55,1461.16
14/09/2022,1637.92,1574.41,1646.09,1556.97
13/09/2022,1574.47,1716.45,1751.50,1562.30
12/09/2022,1716.42,1766.99,1782.74,1694.08
11/09/2022,1766.93,1774.38,1786.73,1722.62
10/09/2022,1774.38,1718.84,1788.10,1707.81
09/09/2022,1718.81,1635.33,1743.47,1631.17
